?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000593>	"An optical anisotropy that is caused by the arrangement of structures with different refractive indexes, on a scale smaller than a wavelength."	
<http://purl.obolibrary.org/obo/FBbi_00000589>	"The inelastic scattering of photons caused by interaction with matter."	
<http://purl.obolibrary.org/obo/FBbi_00000159>		
<http://purl.obolibrary.org/obo/FBbi_00000038>		
<http://purl.obolibrary.org/obo/FBbi_00000570>		
<http://purl.obolibrary.org/obo/FBbi_00000110>		
<http://purl.obolibrary.org/obo/FBbi_00000231>		
<http://purl.obolibrary.org/obo/FBbi_00000473>		
<http://purl.obolibrary.org/obo/FBbi_00000461>		
<http://purl.obolibrary.org/obo/FBbi_00000146>		
<http://purl.obolibrary.org/obo/FBbi_00000497>		
<http://purl.obolibrary.org/obo/FBbi_00000485>		
<http://purl.obolibrary.org/obo/FBbi_00000279>		
<http://purl.obolibrary.org/obo/FBbi_00000158>		
<http://purl.obolibrary.org/obo/FBbi_00000013>		
<http://purl.obolibrary.org/obo/FBbi_00000243>		
<http://purl.obolibrary.org/obo/FBbi_00000122>		
<http://purl.obolibrary.org/obo/FBbi_00000255>		
<http://purl.obolibrary.org/obo/FBbi_00000134>		
<http://purl.obolibrary.org/obo/FBbi_00000001>		
<http://purl.obolibrary.org/obo/FBbi_00000376>		
<http://purl.obolibrary.org/obo/FBbi_00000388>		
<http://purl.obolibrary.org/obo/FBbi_00100001>	"A visualization method that detects a protein self-labelled with a HaloTag. A HaloTag is a haloalkane dehydrogenase that can covalently bind a fluorescent synthetic ligand."	
<http://purl.obolibrary.org/obo/FBbi_00000240>	"Methods for imaging objects large enough to be observed by the unaided eye"	
<http://purl.obolibrary.org/obo/FBbi_00000267>	"A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal."	
<http://purl.obolibrary.org/obo/IAO_0000030>	"A generically dependent continuant that is about some thing."@en	
<http://purl.obolibrary.org/obo/FBbi_00000352>	"A detection method that only detects light that has a specific polarization."	
<http://purl.obolibrary.org/obo/FBbi_00000581>	"Specimen from which water has been removed by a process that avoids liquid-gas and solid-gas phase transitions."	
<http://purl.obolibrary.org/obo/FBbi_00000049>		
<http://purl.obolibrary.org/obo/FBbi_00000454>	"Fluorophore derivative of rhodamine with ex/em 547/572"	
<http://purl.obolibrary.org/obo/FBbi_00000044>		
<http://purl.obolibrary.org/obo/FBbi_00000274>		
<http://purl.obolibrary.org/obo/FBbi_00000153>		
